horse,pedigreeLink,dirtWPS,dirtType,dirtRace,dirtTrk,dirtDate,synthWPS,synthType,synthRace,synthTrk,synthDate,turfWPS,turfType,turfRace,turfTrk,turfDate
Absoulute Heaven,http://www.pedigreequery.com/absoulute+heaven,W,MSW,41K,AQU,2007-02-07,W,ALW,64k n1x,WO,2008-11-23,W,ALW,44k n1x,BEL,2007-05-27
Acoma,http://www.pedigreequery.com/acoma5,W,G3,Azeri,OP,2009-03-08,W,MSW,50k,KEE,2008-04-18,W,G2,Ms. Revere,CD,2008-11-08
Awesome Gem,http://www.pedigreequery.com/awesome+gem,W,G2,Hawthorne Gold Cup,HAW,2009-10-03,W,G1,Hollywood Gold Cup,HOL,2010-07-10,W,ALW,58k,HOL,2009-06-27
Ball Four,http://www.pedigreequery.com/ball+four2,W,MSW,43k,BEL,2004-05-29,W,G2,Mervyn L LeRoy,HOL,2009-05-09,W,ALW,50k n2x,SAR,2005-08-25
Big Booster,http://www.pedigreequery.com/big+booster,W,CLM,50k,GP,2007-01-21,W,S,Gallant Man,HOL,2008-06-01,W,G2,San Juan Capis,SA,2008-04-20
Bold Chieftain,http://www.pedigreequery.com/bold+chieftain5,W,S,President Day Mem,BM,2008-02-18,W,S,Cal Cup Classic,SA,2007-11-03,W,S,Cal DreaminH,DMR,2008-08-02
Brass Hat,http://www.pedigreequery.com/brass+hat,W,G1,Donn Handicap,GP,2006-02-02,W,S,Prairie Bayou,TP,2005-12-17,W,G3,Louisville Handicap,CD,2009-05-23
Bsharpsonata,http://www.pedigreequery.com/bsharpsonata,W,G2,Forward Gal,GP,2008-02-09,W,S,Playa del Rey,HOL,2008-11-27,W,S,Tropical Park Oaks,CRC,2008-01-01
C.S. Silk,http://www.pedigreequery.com/cs+silk,W,MSW,41k,CD,2008-07-06,W,G3,Arlington Wash Lass,AP,2008-09-06,W,G1,Just A Game,BEL,2011-06-11
Carriage Trail,http://www.pedigreequery.com/carriage+trail,W,ALW,61k n1x,SAR,2006-08-20,W,G1,Spinster,KEE,2009-10-05,W,S,DeLaRose,SAR,2008-07-30
Christmas Kid,http://www.pedigreequery.com/christmas+kid,W,G2,Davona Dale,GP,2007-02-10,W,G1,Ashland,KEE,2007-04-07,W,S,TrpOaks100k,CRC,2007-01-01
Colonel John,https://www.pedigreequery.com/colonel+john,W,G1,Travers Stakes,SAR,2008-08-23,W,G1,Santa Anita Derby,SA,2008-04-05,W,S,Wickerr Stakes,DMR,2009-07-31
Court Vision,http://www.pedigreequery.com/court+vision,W,G2,Remsen,AQU,2007-11-24,W,MSW,49k,KEE,2007-10-06,W,G1,Hollywood Derby,HOL,2008-11-30
