horse,pedigreeLink,dirtWPS,dirtType,dirtRace,dirtTrk,dirtDate,synthWPS,synthType,synthRace,synthTrk,synthDate,turfWPS,turfType,turfRace,turfTrk,turfDate
Alpine Yodel,http://www.pedigreequery.com/alpine+yodel,W,CLM,12K n2x,PLN,2008-06-28,S,OC,25K n1x - N,GG,2009-02-22,W,CLM,20K,GG,2008-10-03
Animal Kingdom,http://www.pedigreequery.com/animal+kingdom,W,G1,Kentucky Derby,CD,2011-05-07,W,G3,Spiral Stakes,TP,2011-03-26,P,OC,50k/N1X,GP,2011-03-03
Booyah,http://www.pedigreequery.com/booyah,W,S,HindsInv H,FPX,2008-09-21,P,ALW,68K n1x,HOL,2007-11-27,W,OC,40K n1x-N,HOL,2008-06-19
Cherokee Artist,http://www.pedigreequery.com/cherokee+artist2,W,MSW,3up,CD,2008-05-03,W,S,Presque Isle Mile,PID,2009-09-13,P,G3,Canadian Turf,GP,2010-02-20
Cocoa Beach,http://www.pedigreequery.com/cocoa+beach4,W,G1,Beldame,BEL,2008-09-27,P,G1,BC FM Classic,SA,2008-10-24,W,S,DeLaRose73K,SAR,2009-08-05
Dancing Allstar,http://www.pedigreequery.com/dancing+allstar,W,S,Fantasy ,HST,2007-10-27,W,G3,Whimsical,WO,2009-04-18,S,S,Ernie Samuel Mem,FE,2009-07-12
Dawn After Dawn,http://www.pedigreequery.com/dawn+after+dawn,P,S,Tiffany Lass,FG,2007-01-13,W,G2,La Canada,SA,2008-02-10,W,S,Moscow Burning,SA,2009-03-13
Dee's Rose,http://www.pedigreequery.com/dees+rose,W,ALW,26K n1x,HAW,2008-11-06,P,OC,80k n$y-n,AP,2009-05-10,W,S,Pink Ribbon 50k,AP,2009-07-11
Distinctive Dixie,http://www.pedigreequery.com/distinctive+dixie,W,ALW,51K n2x,CD,2009-05-15,P,MSW,49k at Kee,Kee,2008-10-05,W,MSW,42K,FG,2009-02-01
Dubai Majesty,http://www.pedigreequery.com/dubai+majesty,W,G3,Winning Colors,CD,2009-05-25,P,G1,Madison,Kee,2010-04-08,W,S,Buff Trace Franklin Co,KEE,2009-10-16
Evening Jewel,http://www.pedigreequery.com/evening+jewel,P,G1,Kentucky Oaks,CD,2010-04-30,W,G1,Ashland,Kee,2010-04-03,W,G1,Del Mar Oaks,DMR,2010-08-21
Forever Together,http://www.pedigreequery.com/forever+together,W,G2,Forward Gal,GP,2007-03-10,P,G2,Beaumont,Kee,2007-04-12,W,G1,BC FM Turf,SA,2008-10-24
French Kiss,http://www.pedigreequery.com/french+kiss10,W,S,Pippin,OP,2009-02-14,W,ALW,52K n1x,Kee,2008-10-04,P,ALW,50k n2x,CD,2008-11-02
Fort Prado,http://www.pedigreequery.com/fort+prado,W,S,Springfield,AP,2004-06-04,P,S,Zen53k,AP,2009-05-24,W,G3,Fairgrounds BC Hcp,LaD,2006-01-21
Furioso Star,http://www.pedigreequery.com/furioso+star,W,MSW,47K,SA,2007-01-10,W,OC,32K n1x - N,SA,2008-12-28,P,ALW,63K n1x,HOL,2008-07-12
Giant Oak,http://www.pedigreequery.com/giant+oak,W,G1,Donn Handicap,GP,2011-02-05,P,G3,Wash Park H,AP,2010-09-04,W,S,Arlington Classic,AP,2009-05-23
Global Hunter,http://www.pedigreequery.com/global+hunter,W,ALW,12K Hipodromo ,ARG,2007-02-24,S,G2,Mervyn LeRoy,Hol,2008-04-26,W,S,Lure 81k,SA,2008-10-12
Idiot Proof,http://www.pedigreequery.com/idiot+proof,W,G3,Jersey Shore,MTH,2007-07-04,W,G1,Ancient Title,SA,2007-10-07,P,S,Green Flash,DMR,2008-08-13
Interactif,http://www.pedigreequery.com/interactif,W,MSW,38K,MTH,2009-07-05,P,G2,San Felipe,SA,2010-03-13,W,G2,Hall of Fame,SAR,2010-08-13
Lilacs and Lace,http://www.pedigreequery.com/lilacs+and+lace,W,MSW,28K,GG,2010-10-27,W,G1 ,Ashland,Kee,2011-04-09,P,MSW,25K,GG,2010-09-23
Molengao,http://www.pedigreequery.com/molengao,W,G2,San Antonio,SA,2007-02-04,W,G2,Mervyn LeRoy,HOL,2007-05-05,S,G2,Sunset BC ,HOL,2006-07-16
Noble's Promise,http://www.pedigreequery.com/nobles+promise,P,G2,Rebel Stakes,OP,2010-03-13,W,G1,CashCall Futurity,HOL,2009-12-19,W,MSW,25K,ELP,2009-09-05
Nownownow,http://www.pedigreequery.com/nownownow,P,MSW,42K,CD,2007-05-19,W,G2,San Fernando,SA,2009-01-17,W,S,BC Juv Turf,MTH,2007-10-26
Peach Brew,http://www.pedigreequery.com/peach+brew,W,S,Okla Lassie,RP,2008-09-27,W,G3,Arl Park Oaks,AP,2009-07-18,P,S,Cimarron S,RP,2008-11-16
Roshani,http://www.pedigreequery.com/roshani2,P,MSW,43K at Bel,BEL,2006-05-04,W,ALW,48K n1x,Kee,2007-04-26,W,G3,Galorette,PIM,2008-05-17
Santa Teresita,http://www.pedigreequery.com/santa+teresita3,P,G3,Sixty Sails H,HAW,2009-04-18,W,G1,Santa Maria,SA,2009-02-14,W,ALW,61K n1x,SA,2008-03-16
Sidcup,http://www.pedigreequery.com/sidcup2,W,MSW,28K,EvD,2006-03-17,W,S,PrairieBayu50k,TP,2006-12-06,P,OC,100k c-n,CD,2007-04-29
Slew's Tizzy,http://www.pedigreequery.com/slews+tizzy,W,G2,Lone Star Derby,LS,2007-05-12,W,G2,Lexington,Kee,2007-04-21,S,S,Commonwealth,CD,2007-11-11
Stream Cat,http://www.pedigreequery.com/stream+cat,S,G1,Breeders Futurity,Kee,2005-10-08,W,G3,Tokyo City,SA,2009-03-28,W,G3,Arlington Hcp,AP,2008-07-12
Tribal Belle,http://www.pedigreequery.com/tribal+belle2,W,MC,8k,HAS,2008-05-24,W,G3,Hendrie S.,WO,2010-05-16,S,AOC,80k nw3x,WO,2009-06-05
Ukiah,http://www.pedigreequery.com/ukiah3,W,MSW,43K,SA,2006-01-02,P,CLM,25K,SA,2009-03-15,W,ALW,59K n1x,HOL,2009-05-23
